fold,feature,family,retained,reason
inner_1,motion_state__supplied_velocity_x,motion_state,True,retained
inner_1,motion_state__supplied_velocity_y,motion_state,True,retained
inner_1,motion_state__telemetry_velocity_gap_x,motion_state,True,retained
inner_1,motion_state__telemetry_velocity_gap_y,motion_state,True,retained
inner_1,motion_state__velocity_gap_norm,motion_state,True,retained
inner_1,motion_state__heading_facing_dot,motion_state,True,retained
inner_1,motion_state__heading_facing_cross,motion_state,True,retained
inner_1,motion_state__facing_landing_dot,motion_state,True,retained
inner_1,motion_state__facing_landing_cross,motion_state,True,retained
inner_1,motion_state__backpedal,motion_state,True,retained
inner_1,motion_state__w03_position_slope_x,motion_state,True,retained
inner_1,motion_state__w03_position_slope_y,motion_state,True,retained
inner_1,motion_state__w03_velocity_mean_x,motion_state,True,retained
inner_1,motion_state__w03_velocity_mean_y,motion_state,True,retained
inner_1,motion_state__w03_supplied_mean_x,motion_state,True,retained
inner_1,motion_state__w03_supplied_mean_y,motion_state,True,retained
inner_1,motion_state__w03_supplied_trend_x,motion_state,True,retained
inner_1,motion_state__w03_supplied_trend_y,motion_state,True,retained
inner_1,motion_state__w03_telemetry_rms,motion_state,True,retained
inner_1,motion_state__w03_coverage,motion_state,False,constant_on_training
inner_1,motion_state__w03_braking,motion_state,True,retained
inner_1,motion_state__w03_turning,motion_state,True,retained
inner_1,motion_state__w03_path_efficiency,motion_state,True,retained
inner_1,motion_state__w08_position_slope_x,motion_state,True,retained
inner_1,motion_state__w08_position_slope_y,motion_state,True,retained
inner_1,motion_state__w08_velocity_mean_x,motion_state,True,retained
inner_1,motion_state__w08_velocity_mean_y,motion_state,True,retained
inner_1,motion_state__w08_supplied_mean_x,motion_state,True,retained
inner_1,motion_state__w08_supplied_mean_y,motion_state,True,retained
inner_1,motion_state__w08_supplied_trend_x,motion_state,True,retained
inner_1,motion_state__w08_supplied_trend_y,motion_state,True,retained
inner_1,motion_state__w08_telemetry_rms,motion_state,True,retained
inner_1,motion_state__w08_coverage,motion_state,False,constant_on_training
inner_1,motion_state__w08_braking,motion_state,True,retained
inner_1,motion_state__w08_turning,motion_state,True,retained
inner_1,motion_state__w08_path_efficiency,motion_state,True,retained
inner_1,motion_state__w20_position_slope_x,motion_state,True,retained
inner_1,motion_state__w20_position_slope_y,motion_state,True,retained
inner_1,motion_state__w20_velocity_mean_x,motion_state,True,retained
inner_1,motion_state__w20_velocity_mean_y,motion_state,True,retained
inner_1,motion_state__w20_supplied_mean_x,motion_state,True,retained
inner_1,motion_state__w20_supplied_mean_y,motion_state,True,retained
inner_1,motion_state__w20_supplied_trend_x,motion_state,True,retained
inner_1,motion_state__w20_supplied_trend_y,motion_state,True,retained
inner_1,motion_state__w20_telemetry_rms,motion_state,True,retained
inner_1,motion_state__w20_coverage,motion_state,True,retained
inner_1,motion_state__w20_braking,motion_state,True,retained
inner_1,motion_state__w20_turning,motion_state,True,retained
inner_1,motion_state__w20_path_efficiency,motion_state,True,retained
inner_1,motion_state__supplied_cv_minus_baseline_x,motion_state,True,retained
inner_1,motion_state__supplied_cv_minus_baseline_y,motion_state,True,retained
inner_1,motion_state__damped_0.25_minus_baseline_x,motion_state,True,retained
inner_1,motion_state__damped_0.25_minus_baseline_y,motion_state,True,retained
inner_1,motion_state__damped_0.75_minus_baseline_x,motion_state,True,retained
inner_1,motion_state__damped_0.75_minus_baseline_y,motion_state,True,retained
inner_1,motion_state__damped_1.5_minus_baseline_x,motion_state,True,retained
inner_1,motion_state__damped_1.5_minus_baseline_y,motion_state,True,retained
inner_1,arrival_constraints__required_velocity_x,arrival_constraints,True,retained
inner_1,arrival_constraints__required_velocity_y,arrival_constraints,True,retained
inner_1,arrival_constraints__velocity_deficit_x,arrival_constraints,True,retained
inner_1,arrival_constraints__velocity_deficit_y,arrival_constraints,True,retained
inner_1,arrival_constraints__arrival_gap_x,arrival_constraints,True,retained
inner_1,arrival_constraints__arrival_gap_y,arrival_constraints,True,retained
inner_1,arrival_constraints__required_acceleration_x,arrival_constraints,True,retained
inner_1,arrival_constraints__required_acceleration_y,arrival_constraints,True,retained
inner_1,arrival_constraints__required_speed,arrival_constraints,True,retained
inner_1,arrival_constraints__speed_margin,arrival_constraints,True,retained
inner_1,arrival_constraints__radial_deficit,arrival_constraints,True,retained
inner_1,arrival_constraints__lateral_deficit,arrival_constraints,True,retained
inner_1,arrival_constraints__signed_turn_angle,arrival_constraints,True,retained
inner_1,arrival_constraints__turn_rate_required,arrival_constraints,True,retained
inner_1,arrival_constraints__time_at_current_speed,arrival_constraints,True,retained
